title;imdb;mid;trailer;date;directors;actors;poster;netflix_id;runtime;rating;descr;Action;Adventure;Animation;Comedy;Drama;Family;Fantasy;Mystery;Romance;Science Fiction;Thriller;class1;class2;class3
My Sassy Girl;tt0404254;/m/0286k0s;[];26/06/2008;Yann Samuell;Elisha Cuthbert, Jesse Bradford, Austin Basis, Chris Sarandon;http://ia.media-imdb.com/images/M/MV5BMTk3Mzc3ODkyNF5BMl5BanBnXkFtZTcwMDgyMTg4MQ@@._V1_SX300.jpg;['70101372'];92;7.7;A sweet Midwestern guy with his life planned out for himself is wooed, groomed, and ultimately dumped by a complicated, elusive gal.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
My Week with Marilyn;tt1655420;/m/0dgst_d;['http://www.youtube.com/watch?v=rFcY7PEY9bs'];09/10/2011;Simon Curtis;Michelle Williams, Eddie Redmayne, Julia Ormond, Kenneth Branagh;http://ia.media-imdb.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_SX300.jpg;['70202150'];99;6.9;Colin Clark, an employee of Sir Laurence Olivier's, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Mystic River;tt0327056;/m/02c638;['http://www.apple.com/trailers/wb/mystic_river/', 'http://youtu.be/nmiA24jwlbM'];23/05/2003;Clint Eastwood;Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne;http://ia.media-imdb.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg;['60031232'];138;8.3;With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy.;0;0;0;0;1;0;0;1;0;0;1;0.001709402;0.329545455;0.39748954
Nanny McPhee;tt0396752;/m/08pz9v;[];21/10/2005;Kirk Jones;Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster;http://ia.media-imdb.com/images/M/MV5BMjAwNDUxODEwMF5BMl5BanBnXkFtZTcwMzgyMTIzMQ@@._V1_SX300.jpg;['70040681'];97;6.3;Emma Thompson stars as a governess who uses magic to rein in the behavior of seven ne'er-do-well children in her charge.;0;0;0;1;0;1;1;0;0;0;0;0.241025641;0.619318182;0.016736402
Napoleon Dynamite;tt0374900;/m/03lfd_;['http://youtu.be/6jyyFfeISxg'];17/01/2004;Jared Hess;Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez;http://ia.media-imdb.com/images/M/MV5BNjYwNTA3MDIyMl5BMl5BanBnXkFtZTYwMjIxNjA3._V1_SX300.jpg;['60034789'];96;5.9;A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.;0;0;0;1;0;0;0;0;0;0;0;0;0.585227273;0
Narc;tt0272207;/m/077pmx;[];17/12/2002;Joe Carnahan;Dan Leis, Jason Patric, Lloyd Adams, Meagan Issa;http://ia.media-imdb.com/images/M/MV5BMjAwMzQ1NDcyM15BMl5BanBnXkFtZTcwOTYzMjAwMQ@@._V1_SX300.jpg;['60025004'];105;6.8;When the trail goes cold on a murder investigation of a policeman an undercover narcotics officer is lured back to the force to help solve the case.;1;0;0;0;1;0;0;1;0;0;1;0.162393162;0.363636364;0.761506276
Nausicaa of the Valley of the Wind;tt0087544;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e23246&bitrateid=455&vendorid=102&type=.mp4;1984;Hayao Miyazaki;Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya;http://ia.media-imdb.com/images/M/MV5BMTM1NjIxNTY4OF5BMl5BanBnXkFtZTcwNDE5MDIyNw@@._V1_.jpg;70019062;117;8.2;Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.;1;1;1;0;1;0;1;0;0;1;0;0.84;0.4;0.64
Ned Kelly;tt0277941;/m/04z4j2;[];22/03/2003;Gregor Jordan;Heath Ledger, Orlando Bloom, Geoffrey Rush, Naomi Watts;http://ia.media-imdb.com/images/M/MV5BMTI2MTYxNTQwMV5BMl5BanBnXkFtZTYwNTI3Mzg5._V1_SX300.jpg;['60033337'];110;6.2;An innocent man becomes one of the most wanted criminals the world has ever known.;1;1;0;0;1;0;0;0;0;0;0;0.247863248;0.323863636;0
Neds;tt1560970;/m/0f133ts;['http://www.youtube.com/watch?v=kr7Opycx_yY'];09/10/2010;Peter Mullan;Conor McCarron, Greg Forrest, Joe Szula, Mhairi Anderson;http://ia.media-imdb.com/images/M/MV5BMTgwMzgyODA3NF5BMl5BanBnXkFtZTcwODcyMDgzOQ@@._V1_SX300.jpg;['70154721'];124;7.1;Encompassed by violent street gangs, neglectful parents, bullying teachers and a dearth of positive role models, a studious but emotionally abandoned kid turns thug.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Network;tt0074958;;;1976;Sidney Lumet;Faye Dunaway, William Holden, Peter Finch, Robert Duvall;http://ia.media-imdb.com/images/M/MV5BMTc1NjIyMDcxNl5BMl5BanBnXkFtZTgwMzU2MTUxMDE@._V1_.jpg;70044752;121;8.2;A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Never Let Me Go;tt1334260;/m/05zwrg0;['http://www.youtube.com/watch?v=sXiRZhDEo8A'];03/09/2010;Mark Romanek;Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe;http://ia.media-imdb.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg;['70120827'];103;6.7;A love triangle develops between three friends who came of age at a mysterious, secluded boarding school and are destined to lead brief lives.;0;0;0;0;1;0;0;0;1;1;1;0.121367521;0.443181818;0.39748954
New Town Killers;tt1183908;/m/05z_844;[];2008;Richard Jobson;James Anthony Pearson, Dougray Scott, Alastair Mackenzie, Charles Mnene;http://ia.media-imdb.com/images/M/MV5BMTg1MTUyNTQxOV5BMl5BanBnXkFtZTgwNjAyMjc0MDE@._V1_SX300.jpg;['70124814'];100;5;Two private bankers, Alistair and Jamie, who have the world at their feet get their kicks from playing a 12 hour game of hunt, hide and seek with people from the margins of society. Their ...;0;0;0;0;0;0;0;0;0;0;1;0.003418803;0;0.874476987
Newcastle;tt1043860;/m/051xjcq;['http://www.dancastle.com/Dan_Castle/Newcastle_Trailer.html'];08/02/2008;Dan Castle;Lachlan Buchanan, Xavier Samuel, Reshad Strik, Kirk Jenkins;http://ia.media-imdb.com/images/M/MV5BMTUzMDE3MzcwOV5BMl5BanBnXkFtZTcwOTc3MTEwMg@@._V1_SX300.jpg;['70116652'];107;6.2;'Newcastle' is a coming-of-age/family drama/surfing movie. 17-year old Jesse lives in the shadow of his older brother Victor's failure to become surfing's Next Big Thing. Even when he's in ...;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Nights in Rodanthe;tt0956038;/m/03c3tpw;[];26/09/2008;George C. Wolfe;Richard Gere, Diane Lane, Christopher Meloni, Viola Davis;http://ia.media-imdb.com/images/M/MV5BMTI2MDA0MTI0Ml5BMl5BanBnXkFtZTcwMDkzNDMwMg@@._V1_SX300.jpg;['70098899'];97;5.9;A doctor who is traveling to see his estranged son sparks with an unhappily married woman at a North Carolina inn.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Nine;tt0875034;/m/04jplwp;['http://www.youtube.com/watch?v=y_5_lzags3I'];03/12/2009;Rob Marshall;Daniel Day-Lewis, Sandro Dori, Nicole Kidman, Marion Cotillard;http://ia.media-imdb.com/images/M/MV5BMTY5ODA2MzQxMl5BMl5BanBnXkFtZTcwMTI4NTEwMw@@._V1_SX300.jpg;['70110781'];118;3.3;Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Ninja;tt1182921;/m/0bg8byy;['http://www.scottadkins.com/ninja-trailer-video-detail.htm'];22/10/2009;Isaac Florentine;Scott Adkins, Tsuyoshi Ihara, Mika Hijii, Todd Jensen;http://ia.media-imdb.com/images/M/MV5BMTQ0MzgyNTg1MV5BMl5BanBnXkFtZTcwMTI0NTkxMw@@._V1_SX300.jpg;['70119827'];86;4.5;A westerner named Casey, studying Ninjutsu in Japan, is asked by the Sensei to return to New York to protect the legendary Yoroi Bitsu, an armored chest that contains the weapons of the last Koga Ninja.;1;0;0;0;1;0;0;0;0;0;1;0.061538462;0.329545455;0
Ninja Assassin;tt1186367;/m/0464m03;[];29/09/2009;James McTeigue;Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim;http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1_SX300.jpg;['70101697'];99;5.7;A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.;1;0;0;0;0;0;0;0;0;0;1;0.295726496;0;0.694560669
No Country for Old Men;tt0477348;;http://video-http.media-imdb.com/MV5BZjkyMzE1YzItOWE1ZS00MjE3LWE4MWItNjAwOTAyNDgxODI1XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422384778&Signature=2Osb7uWrUbyu3su78MKLLo2jItPqcuOLpk0HXb9f0hGUJrhCrEK4Zy5vMf~TJYlptClumYnCY-PLFG4g-Ob2KcPKShCsDhdk6EQCD9RdrI5J0pfqciMNFU944y7bGcquHc4DajOnbr9Zr7Jj~OvsBN~TSo6mXFyykU1T4uJpV0s_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2007;Ethan Coen, Joel Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson;http://ia.media-imdb.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_.jpg;70071613;122;8.1;Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.;0;0;0;0;1;0;0;0;0;0;1;0;0.32;0
North by Northwest;tt0053125;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e54959&bitrateid=472&vendorid=102&type=.mp4;1959;Alfred Hitchcock;Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis;http://ia.media-imdb.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1_.jpg;60000544;136;8.4;A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.;1;1;0;0;1;0;0;1;1;0;1;0.55;0.61;0.93
Notorious;tt0038787;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e22387&bitrateid=471&vendorid=102&type=.mp4;1946;Alfred Hitchcock;Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern;http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_.jpg;813874;101;8.1;A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?;0;0;0;0;1;0;0;0;1;0;1;0.03;0.43;0.33
Novo;tt0291392;/m/02rl1yn;[];21/09/2005;Jean-Pierre Limosin;Eduardo Noriega, Anna Mouglalis, Nathalie Richard, Éric Caravaca;http://ia.media-imdb.com/images/M/MV5BODMxNjc0MjQzNF5BMl5BanBnXkFtZTcwMTYxNDMzMQ@@._V1_SX300.jpg;['60036254'];98;5.4;Those who loved Graham yesterday shouldn't count on today. Those who love him today risk being heartbroken tomorrow... Suffering from recurring memory loss, Graham is restricted to a ...;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Nowhere Boy;tt1266029;/m/05mz4l6;[];29/10/2009;Sam Taylor-Johnson;Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt;http://ia.media-imdb.com/images/M/MV5BMTk0ODYwNzc5OF5BMl5BanBnXkFtZTcwNDI2MDYzMw@@._V1_SX300.jpg;['70124562'];98;7.5;A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Ocean's Eleven;tt0240772;/m/06z8s_;[];05/12/2001;Steven Soderbergh;George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence;http://ia.media-imdb.com/images/M/MV5BMTY0Mzg4MzgwN15BMl5BanBnXkFtZTgwNDk0MzkxMDE@._V1_SX300.jpg;['60021783'];116;7.9;Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.;1;1;0;1;0;0;0;0;0;0;1;0.463247863;0.443181818;0.464435146
Ocean's Twelve;tt0349903;/m/0418wg;[];08/12/2004;Steven Soderbergh;Brad Pitt, Catherine Zeta-Jones, George Clooney, Ed Kross;http://ia.media-imdb.com/images/M/MV5BMTQ3NTIyMzczMF5BMl5BanBnXkFtZTYwMjgzNTg2._V1_SX300.jpg;['70011211'];125;6.1;Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.;1;0;0;1;0;0;0;0;0;0;1;0.229059829;0.596590909;0.205020921
Old School;tt0302886;/m/03vv1f;['http://www.imdb.com/video/imdb/vi1147970073/'];13/02/2003;Todd Phillips;Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven;http://ia.media-imdb.com/images/M/MV5BMTI5OTQzODQ0OF5BMl5BanBnXkFtZTYwNzgwMDc3._V1_SX300.jpg;['60023650'];91;4;Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.;0;0;0;1;0;0;0;0;0;0;0;0;0.585227273;0
Oldboy;tt0364569;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e23662&bitrateid=472&vendorid=102&type=.mp4;2003;Chan-wook Park;Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji;http://ia.media-imdb.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg;70024111;120;8.4;After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days.;1;0;0;0;1;0;0;1;0;0;1;0.14;0.37;0.93
Oliver Twist;tt0040662;/m/07jqjx;[];11/09/2005;David Lean;Robert Newton, Alec Guinness, Kay Walsh, Francis L. Sullivan;http://ia.media-imdb.com/images/M/MV5BMTU5OTMwNDg3Ml5BMl5BanBnXkFtZTcwMzEyMDEzMQ@@._V1_SX300.jpg;['70038921', '70008849', '70001788'];105;5.9;An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.;0;0;0;0;1;1;0;0;0;0;0;0;0.318181818;0
On the Waterfront;tt0047296;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e124921&bitrateid=472&vendorid=102&type=.mp4;1954;Elia Kazan;Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger;http://ia.media-imdb.com/images/M/MV5BMTcwMTU3MjI1OV5BMl5BanBnXkFtZTgwNjE2OTI3MjE@._V1_.jpg;60000711;108;8.3;An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.;0;0;0;0;1;0;0;0;0;0;1;0;0.32;0
Once;tt0907657;/m/027_7dd;['https://www.youtube.com/watch?v=lSop79XUAoo'];15/07/2006;John Carney;Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick;http://ia.media-imdb.com/images/M/MV5BMTEwNjExOTc2MTJeQTJeQWpwZ15BbWU3MDYzODQ3NDE@._V1_SX300.jpg;['70059661'];85;7.8;A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Once Upon a Time in America;tt0087843;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e10898&bitrateid=471&vendorid=102&type=.mp4;1984;Sergio Leone;Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci;http://ia.media-imdb.com/images/M/MV5BNDMwMDcyODkzOV5BMl5BanBnXkFtZTcwNTQ1Njg3OA@@._V1_.jpg;60028306;229;8.4;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Once Upon a Time in the West;tt0064116;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e57907&bitrateid=472&vendorid=102&type=.mp4;1968;Sergio Leone;Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson;http://ia.media-imdb.com/images/M/MV5BMTEyODQzNDkzNjVeQTJeQWpwZ15BbWU4MDgyODk1NDEx._V1_.jpg;60031884;175;8.6;Epic story of a mysterious stranger with a harmonica who joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;1;1;0;0;0;0;0;0;0;0;0;0.22;0;0
One Flew Over the Cuckoo's Nest;tt0073486;;;1975;Milos Forman;Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown;http://ia.media-imdb.com/images/M/MV5BMTk5OTA4NTc0NF5BMl5BanBnXkFtZTcwNzI5Mzg3OA@@._V1_.jpg;825812;133;8.7;Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
One More Kiss;tt0229625;/m/04f10b5;[];18/02/2000;Vadim Jean;Valerie Edmond, Gerard Butler, Valerie Gogan, James Cosmo;http://ia.media-imdb.com/images/M/MV5BMTIxODE2NDAzMl5BMl5BanBnXkFtZTcwNjQyODIzMQ@@._V1_SX300.jpg;['70050060'];97;6.3;When Sarah Hopson realizes her successful high-rise New York lifestyle is devoid of meaning, she packs her bags and heads for her home town in the Scottish Borders to look for Sam, her ...;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
One Shot;tt1258758;/m/04mmscz;[];20/06/2008;Linda Wendel;Mille Lehfeldt, Karen-Lise Mynster, Jesper Christensen;http://ia.media-imdb.com/images/M/MV5BMTMzOTI3Mzk1Nl5BMl5BanBnXkFtZTcwNzk0MDkyNA@@._V1_SX300.jpg;[];102;5.3;Plot soon available for this movie.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Open Range;tt0316356;/m/04lyrw;[];11/08/2003;Kevin Costner;Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon;http://ia.media-imdb.com/images/M/MV5BMTYyNjA4NTY3N15BMl5BanBnXkFtZTYwNjc0MDM3._V1_SX300.jpg;['60029202'];139;7.1;A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.;1;0;0;0;1;0;0;0;1;0;0;0.071794872;0.386363636;0
Orange County;tt0273923;/m/028kj0;[];11/01/2002;Jake Kasdan;Colin Hanks, Jack Black, Schuyler Fisk, Bret Harrison;http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMzQ2N15BMl5BanBnXkFtZTYwODM2MjI5._V1_SX300.jpg;['60022052'];82;5.2;A guidance counselor mistakenly sends out the wrong transcripts to Stanford University under the name of an over-achieving high schooler.;0;0;0;1;0;0;0;0;0;0;0;0;0.585227273;0
Out of Time;tt0313443;/m/06hs4v;[];07/09/2003;Carl Franklin;Denzel Washington, Eva Mendes, Sanaa Lathan, Dean Cain;http://ia.media-imdb.com/images/M/MV5BMjAxMTMzNTI5Ml5BMl5BanBnXkFtZTcwNDAwMTQ2NA@@._V1_SX300.jpg;['60031225'];105;4.9;A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.;0;0;0;0;1;0;0;0;0;0;1;0;0.318181818;0
Paintball;tt1205071;/m/05sqg0g;['http://www.youtube.com/watch?v=9tyBQPC0O_E'];24/04/2009;Daniel Benmayor;Brendan Mackey, Jennifer Matter, Patrick Regis, Iaione Perez;http://ia.media-imdb.com/images/M/MV5BMTkxODQwOTU4NV5BMl5BanBnXkFtZTcwMDM4NTk5Mw@@._V1_SX300.jpg;['70117035'];86;2.9;A group of young urban workaholics sign up for a weekend of paintballing to have some adventure. But the adrenaline-filled entertainment soon turns into a manhunt, in which they become the ...;1;0;0;0;0;0;0;0;0;0;1;0.295726496;0;0.694560669
Pan's Labyrinth;tt0457430;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e29607&bitrateid=472&vendorid=102&type=.mp4;2006;Guillermo del Toro;Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones;http://ia.media-imdb.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_.jpg;70050507;118;8.3;In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.;0;0;0;0;1;0;1;0;0;0;0;0.01;0.32;0
Papillon;tt0070511;;;1973;Franklin J. Schaffner;Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon;http://ia.media-imdb.com/images/M/MV5BMTY2NjE5NDk3OV5BMl5BanBnXkFtZTcwMTU3Njk3OA@@._V1_.jpg;841204;151;8.1;A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Paranormal Activity;tt1179904;/m/07s3m4g;['http://www.youtube.com/watch?v=F_UxLEqd074', 'http://www.imdb.com/video/imdb/vi1225261593/', 'http://www.youtube.com/embed/7TC9bKyDB5Y'];14/10/2007;Oren Peli;Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong;http://ia.media-imdb.com/images/M/MV5BMjY1NjcxODQ4MV5BMl5BanBnXkFtZTcwMzUxNjM4Mg@@._V1_SX300.jpg;['70125581'];86;3.8;After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.;0;0;0;0;0;0;0;1;0;0;1;0.008547009;0;0.912133891
Paranormal Activity 3;tt1778304;/m/0h1f30d;[];14/10/2011;Henry Joost, Ariel Schulman;Lauren Bittner, Christopher Nicholas Smith, Chloe Csengery, Jessica Tyler Brown;http://ia.media-imdb.com/images/M/MV5BMTk0MTQzODQzOV5BMl5BanBnXkFtZTcwMDQ2NzQ3Ng@@._V1_SX300.jpg;['70202137'];83;5.3;In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.;0;0;0;0;0;0;0;1;0;0;0;0.001709402;0;0.774058577
Pathfinder;tt0446013;/m/0f9dsm;[];11/01/2007;Marcus Nispel;Karl Urban, Moon Bloodgood, Russell Means, Clancy Brown;http://ia.media-imdb.com/images/M/MV5BMTk5MDY0NTA1OV5BMl5BanBnXkFtZTcwNjE0MDM0MQ@@._V1_SX300.jpg;['70044886'];99;4.3;A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.;1;1;0;0;0;0;0;0;0;0;0;0.205128205;0;0
Paths of Glory;tt0050825;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e73847&bitrateid=472&vendorid=102&type=.mp4;1957;Stanley Kubrick;Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready;http://ia.media-imdb.com/images/M/MV5BMTUxNTcxMjI5NV5BMl5BanBnXkFtZTcwNTcyNjI3Mw@@._V1_.jpg;845807;88;8.5;When soldiers in World War I refuse to continue with an impossible attack, their superior officers decide to make an example of them.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Paul;tt1092026;/m/065_cjc;['http://www.youtube.com/watch?v=IyJo6ESSiMY', 'http://www.youtube.com/watch?v=KdHUQtnJsyQ'];14/02/2011;Greg Mottola;Mia Stallard, Simon Pegg, Nick Frost, Jeremy Owen;http://ia.media-imdb.com/images/M/MV5BMTQzNzAwMTM3MV5BMl5BanBnXkFtZTcwNTE1MTAzNA@@._V1_SX300.jpg;['70123711'];104;7.1;Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.;0;1;0;1;0;0;0;0;0;1;0;0.376068376;0.539772727;0.09623431
Paycheck;tt0338337;/m/07rshd;[];25/12/2003;John Woo;Ben Affleck, Aaron Eckhart, Uma Thurman, Paul Giamatti;http://ia.media-imdb.com/images/M/MV5BMTczMzU5NDk4MV5BMl5BanBnXkFtZTYwNDQxNzc3._V1_SX300.jpg;['60031291'];119;5.4;What seemed like a breezy idea for an engineer to net him millions of dollars, leaves him on the run for his life and piecing together why he's being chased.;1;0;0;0;0;0;0;0;0;1;1;0.365811966;0.005681818;0.577405858
Persepolis;tt0808417;/m/02r8hh_;['http://www.youtube.com/watch?v=3PXHeKuBzPY'];23/05/2007;Vincent Paronnaud, Marjane Satrapi;Chiara Mastroianni, Danielle Darrieux, Catherine Deneuve, Simon Abkarian;http://ia.media-imdb.com/images/M/MV5BMzIxMDI0Nzc4NV5BMl5BanBnXkFtZTYwNjU5OTI4._V1_SX300.jpg;['70071605'];96;8.1;Poignant coming-of-age story of a precocious and outspoken young Iranian girl that begins during the Islamic Revolution.;0;0;1;0;1;0;0;0;0;0;0;0.015384615;0.3125;0.0041841
Persona;tt0060827;;;1966;Ingmar Bergman;Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand;http://ia.media-imdb.com/images/M/MV5BMTc1OTgxNjYyNF5BMl5BanBnXkFtZTcwNjM2MjM2NQ@@._V1_.jpg;60033908;83;8.2;A nurse is put in charge of an actress who can't talk and finds that the actress's persona is melding with hers.;0;0;0;0;1;0;0;1;0;0;1;0;0.32;0.9
Peter Pan;tt0046183;/m/0crvzjq;[];10/10/2000;Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney;Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson;http://ia.media-imdb.com/images/M/MV5BMTI3Mzg1OTM0NF5BMl5BanBnXkFtZTcwODI0MDU1MQ@@._V1_SX300.jpg;['60002333'];77;7;The fabled children's story show from Broadway produced for television.;0;0;0;0;0;1;1;0;0;0;0;0.38974359;0;0
Philosophy of a Knife;tt0961119;/m/058xlyq;[];08/07/2008;Andrey Iskanov;Tetsuro Sakagami, Tomoya Okamoto, Yukari Fujimoto, Manoush;http://ia.media-imdb.com/images/M/MV5BMTYzMTEwNjY1OV5BMl5BanBnXkFtZTcwNjY0ODA0Mg@@._V1_SX300.jpg;[];249;5.3;The true history of Japanese Unit 731, from its beginnings in the 1930s to its demise in 1945, and the subsequent trials in Khabarovsk, USSR, of many of the Japanese doctors from Unit 731. ...;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Phoenix;tt0826600;/m/0cr_hhp;[];2006;Michael D. Akers;Chad Bartley, Jeff Castle, Gaetano Jones, Conrad Angel Corral;http://ia.media-imdb.com/images/M/MV5BMjIxNzA3NzQ5MV5BMl5BanBnXkFtZTcwOTM0NTUxMg@@._V1_SX300.jpg;['70060169'];172;5.8;"Inspired by Michelangelo Antonioni's 1961 classic L'Avventura, Michael Akers' ""PHOENIX"" is infused with symbolism and a sexy spark...";0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Pinocchio;tt0032910;/m/02754c9;[];11/10/2002;Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen;Mel Blanc, Don Brodie, Walter Catlett, Marion Darlington;http://ia.media-imdb.com/images/M/MV5BMTY0MjEyNjkwNl5BMl5BanBnXkFtZTcwMzg2MjAwMQ@@._V1_SX300.jpg;['60028332', '60024944'];88;6.1;Despite guidance from the Blue Fairy and the love of his father, a wooden puppet's curious spirit leads him into one wild adventure after another.;0;0;0;1;0;1;1;0;0;0;0;0.241025641;0.619318182;0.016736402
